solID,mape,decomp.rssd,nrmse,tv_S,ooh_S,print_S,facebook_S,search_S,cluster,top_sol
5_131_5,0,0.17693186717599,0.0542624407410985,0.49586073305441,0.17065465032248,0.527647915013402,0.318114837767788,0.781243625539885,1,FALSE
5_132_11,0,0.0734070556128869,0.0578246477252426,0.758375117552264,0.834658769397471,0.0176046390767211,0.643107753223727,0.669441687782762,3,FALSE
5_133_8,0,0.138463083526068,0.0553280163125677,0.166346957574847,0.408715747131692,0.283397560809181,0.270858647962624,0.466493774181503,4,FALSE
5_135_7,0,0.108173487408045,0.0561682331116671,0.346703673495693,0.482324087710109,0.174783684732634,0.405215698318876,0.850542009492818,4,FALSE
5_136_5,0,0.176933555730304,0.0542631369053679,0.495886551988262,0.170567190800353,0.527622590340192,0.318214063045932,0.781621019625585,1,FALSE
5_138_11,0,0.174633822668981,0.0543710100777555,0.479881155897607,0.154481084341296,0.477441177017265,0.315244522024741,0.774818734733781,1,FALSE
5_139_6,0,0.0566069523813675,0.0629455751318494,0.369717643647554,0.563247442151194,0.0779931297849605,0.753051599629091,0.932895920130481,3,FALSE
5_141_2,0,0.135409193432904,0.055438092056482,0.174751506625945,0.44151817137782,0.302703359943855,0.280798048682955,0.529796439400573,4,FALSE
5_143_6,0,0.120572380650807,0.0560534946998571,0.498223740181645,0.458517964874616,0.187085550735089,0.389750338575457,0.901954639236975,1,TRUE
5_146_8,0,0.197901024881884,0.0537943218792209,0.645133364547842,0.581690473321357,0.850279069083911,0.175749683224172,0.66492035049783,1,FALSE
5_149_11,0,0.103154733923587,0.0562336470993426,0.325132876197415,0.313203468939666,0.121584007780215,0.413177453058573,0.500122248990684,4,FALSE
5_149_7,0,0.105733527438614,0.0561215250625654,0.732560499060861,0.833088549667804,0.400689591482083,0.484943578059876,0.72619617496752,3,FALSE
5_151_3,0,0.167312233820332,0.0545036672920166,0.595525587838573,0.345517511523955,0.456314441279667,0.259865936638828,0.660479214021863,1,FALSE
5_151_5,0,0.102087565442514,0.0567244684712371,0.421854317324969,0.252922872969734,0.204385531597326,0.553694574357897,0.770149418496674,4,FALSE
5_153_11,0,0.176328188180354,0.0542816793658551,0.491979977112985,0.167062770810165,0.516349645740913,0.317683046251825,0.778808838873338,1,FALSE
5_153_3,0,0.213249657725329,0.0530632918079387,0.351577813293696,0.433264436364827,0.532750100616405,0.0724493708817734,0.386267298698156,2,FALSE
5_157_5,0,0.116621340204138,0.0559976037700669,0.0591695874471281,0.402152904594727,0.283794655236276,0.36279789109204,0.676669962941071,4,FALSE
5_162_12,0,0.0752946958078749,0.0574028421031431,0.565281507369592,0.84536214410079,0.313510780022084,0.688006080723374,1,3,FALSE
5_162_5,0,0.121624359316122,0.0555599281403491,0.329425630775485,0.567033661544723,0.429995255278255,0.391147125634427,0.689478417137224,1,FALSE
5_163_6,0,0.0803622774642402,0.0572708666919114,0.28924877476828,0.537510532687948,0.0638162088781863,0.479022825125504,0.74067179241923,4,FALSE
5_164_11,0,0.119914835425403,0.0556031459523781,0.339300499317076,0.69031285748518,0.429360709620779,0.404883820143867,0.722144272892317,1,FALSE
5_164_12,0,0.0547378400081754,0.0597604967410465,0.51998224900103,0.453210040862745,0.0230813857356979,0.694170741378667,0.654130405750255,3,FALSE
5_166_7,0,0.14341082386039,0.0551591135080808,0.349715333349817,0.555883549506092,0.162971273653036,0.254879095530275,0.459507315448695,4,FALSE
